array,L09209_s_at,M11722_at,M16038_at,M22960_at,M31523_at,M62762_at,M92287_at,X17042_at,X61587_at,X62654_rna1_at,grp
S1,1284,3282,365,330,1320,835,4778,177,242,631,ALL
S2,540,1627,624,811,898,3072,2700,3460,667,739,ALL
S3,236,2783,108,212,597,609,4926,416,419,106,ALL
S4,786,1544,873,584,1644,935,5403,392,-100,352,ALL
S5,968,1896,686,1018,1322,1665,3440,7972,918,2028,ALL
S6,368,2372,302,206,787,499,3179,597,321,17,ALL
S7,344,613,325,655,946,764,3978,403,-220,245,ALL
S8,-196,4066,244,-187,1917,1323,3293,140,-215,281,ALL
S9,310,1391,273,1176,1440,1741,7324,848,691,621,ALL
S10,260,972,144,100,442,1188,2676,1094,320,381,ALL
S11,210,780,34,164,617,1870,6134,1343,140,373,ALL
S12,146,2433,399,446,474,1030,2056,5252,879,626,ALL
S13,825,9811,281,196,1969,1482,10669,2408,200,712,ALL
S14,513,257,589,1216,686,892,1912,2525,946,800,ALL
S15,440,6270,854,664,2572,1306,9211,2133,408,704,ALL
S16,94,6845,289,295,1439,593,3345,1232,-14,537,ALL
S17,3755,1234,534,1080,989,2376,2360,1150,2127,648,ALL
S18,173,-135,540,327,1186,542,1316,1232,463,345,ALL
S19,265,7686,44,228,1224,809,2492,1519,-23,364,ALL
S20,897,10926,616,1475,4555,2475,6464,180,-57,1029,ALL
S21,347,1830,447,449,2707,1514,524,1912,-189,748,ALL
S22,258,219,239,130,274,1977,3253,354,-103,549,ALL
S23,311,807,9,131,590,672,3796,178,-7,85,ALL
S24,593,1628,515,534,1823,1235,4093,1687,445,773,ALL
S25,104,2790,50,271,553,933,1689,3711,140,245,ALL
S26,741,5455,268,305,1909,1114,5204,1750,507,814,ALL
S27,-15,2495,483,251,1076,-9,2581,291,-621,384,ALL
S28,1355,-252,679,866,353,2702,1283,7858,531,1121,AML
S29,2219,297,1305,1092,279,1736,1525,8859,2128,1755,AML
S30,4607,412,2694,4079,250,3553,811,11003,2240,7589,AML
S31,1017,385,1028,2179,381,3255,1032,5849,1009,1888,AML
S32,2212,1284,2680,1571,671,4249,1024,3259,549,1696,AML
S33,4198,58,3223,702,200,1871,1827,8855,2189,2519,AML
S34,1192,454,1674,2501,299,3236,498,8518,1112,1907,AML
S35,1243,2,735,1885,389,1125,165,3628,622,743,AML
S36,5814,455,2727,3927,126,4647,1309,10603,2801,4797,AML
S37,2930,297,2399,1916,190,3808,852,8479,812,3199,AML
S38,1060,166,784,456,275,3594,1484,1285,756,1015,AML
S39,7,8700,164,-178,1484,1738,3633,33,62,649,ALL
S40,360,4614,797,30,606,708,522,1269,273,671,ALL
S41,565,1487,491,597,1479,1188,6400,1183,216,306,ALL
S42,911,4357,265,207,1751,2274,5358,1045,500,586,ALL
S43,216,7540,223,648,2148,951,3598,7064,288,687,ALL
S44,289,8791,252,699,1955,1393,5600,155,72,361,ALL
S45,1110,12307,87,601,1275,1062,7477,1327,-298,721,ALL
S46,291,5433,173,776,980,586,6841,283,-4,399,ALL
S47,605,7369,313,367,1052,1828,1338,2450,75,506,ALL
S48,920,7216,178,361,2428,1946,8921,1537,485,767,ALL
S49,-62,6603,390,256,1467,417,4174,690,-515,589,ALL
S50,3223,120,2735,1959,197,3427,1451,7281,3266,2730,AML
S51,1518,74,2089,1617,110,2120,583,6957,1412,1675,AML
S52,3016,1,1744,3432,139,3266,1342,6371,4199,2783,AML
S53,3162,123,1522,1057,388,3457,1062,7056,1465,5116,AML
S54,5704,-218,855,1385,282,2860,626,7248,2269,2157,AML
S55,646,1595,217,374,821,1170,3375,2057,247,649,ALL
S56,417,4537,185,239,1297,1246,2417,1102,90,391,ALL
S57,2458,51,444,1880,196,1662,851,8964,1079,1077,AML
S58,1724,80,1020,222,268,1489,751,3653,615,1335,AML
S59,338,7480,147,343,1087,1769,7867,4509,241,508,ALL
S60,2496,445,385,1048,461,1933,528,10449,1722,1814,AML
S61,1705,221,489,1850,446,2600,754,975,1915,1590,AML
S62,3785,-53,1837,2801,328,4346,1957,5314,4191,1292,AML
S63,6008,106,2686,2444,253,4514,1152,5178,3418,1756,AML
S64,1819,-27,1499,2719,450,2803,227,6311,2133,932,AML
S65,1717,-170,716,1023,375,2631,456,5086,1474,1762,AML
S66,1095,249,460,447,528,960,836,3340,549,1397,AML
S67,1616,-28,1448,528,929,2601,2474,4401,2189,1602,ALL
S68,1053,5653,462,1021,3923,1618,6203,2282,507,1269,ALL
S69,799,4830,505,456,1794,1760,9155,2128,1086,1935,ALL
S70,210,1644,426,631,1277,1025,1814,348,140,434,ALL
S71,187,1671,190,182,828,1494,1608,1128,378,661,ALL
S72,435,1327,406,265,1361,2122,2420,1357,1247,1339,ALL
